DATE,JTSJOL
2016-11-01,5971
2016-12-01,5964
2017-01-01,5617
2017-02-01,5923
2017-03-01,5811
2017-04-01,6091
2017-05-01,5826
2017-06-01,6305
2017-07-01,6238
2017-08-01,6276
2017-09-01,6320
2017-10-01,6408
2017-11-01,6271
2017-12-01,6336
2018-01-01,6621
2018-02-01,6552
2018-03-01,6818
2018-04-01,6877
2018-05-01,7016
2018-06-01,7230
2018-07-01,7190
2018-08-01,7208
2018-09-01,7411
2018-10-01,7304
2018-11-01,7594
2018-12-01,7489
2019-01-01,7502
2019-02-01,7066
2019-03-01,7317
2019-04-01,7272
2019-05-01,7275
2019-06-01,7194
2019-07-01,7042
2019-08-01,7178
2019-09-01,7124
2019-10-01,7289
2019-11-01,6888
2019-12-01,6699
2020-01-01,7170
2020-02-01,6974
2020-03-01,5924
2020-04-01,4637
2020-05-01,5593
2020-06-01,6156
2020-07-01,6491
2020-08-01,6369
2020-09-01,6505
2020-10-01,6838
2020-11-01,6857
2020-12-01,6758
2021-01-01,7185
2021-02-01,7818
2021-03-01,8519
2021-04-01,9282
2021-05-01,9905
2021-06-01,10317
2021-07-01,10991
2021-08-01,10884
2021-09-01,10875
2021-10-01,11365
2021-11-01,11178
2021-12-01,11511
2022-01-01,11243
2022-02-01,11700
2022-03-01,12182
2022-04-01,11773
2022-05-01,11473
2022-06-01,11204
2022-07-01,11537
2022-08-01,10119
2022-09-01,10784
2022-10-01,10526
2022-11-01,10702
2022-12-01,11000
2023-01-01,10425
2023-02-01,9849
2023-03-01,9623
2023-04-01,9904
2023-05-01,9311
2023-06-01,9125
2023-07-01,8805
2023-08-01,9358
2023-09-01,9307
2023-10-01,8685
2023-11-01,8931
2023-12-01,8889
2024-01-01,8748
2024-02-01,8813
2024-03-01,8488
